check_type,check_name,new_name,check_domain,check_application,full_description,check_type_short,check_category,hr_comments,ap_comments
Data Cycle changeds,dc_vip_ipcombined,dc_visei,Visit Occurrence,Inpatient or ED to Inpatient Visits,counts of inpatient or emergency to inpatient visits (visit_concept_id = 2000000048) in the previous and current data submissions,dc,Consistency,I think this should be visei,hanieh added visei to check_components
Data Cycle changeds,dc_vob,dc_visobs,Visit Occurrence,Observation Visits,counts of observation visits (visit_concept_id = 2000000088) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_dp,dc_drugspresc,Drug Exposure,Prescription Drugs,counts of prescription drugs (drug_type_concept_id = 3800177) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_di,dc_drugsip,Drug Exposure,Inpatient Administrations,counts of inpatient administrations (drug_type_concept_id = 38000180) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_pr,dc_procsall,Procedure Occurrence,All Procedures,counts in the full procedure_occurrence table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_pb,dc_procsbill,Procedure Occurrence,Billed Procedures,counts of billed procedures (procedure_type_concept_id = 44786630 or 44786631) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_po,dc_procsord,Procedure Occurrence,Ordered Procedures,counts of ordered procedures (procedure_type_concept_id = 2000001494 or 38000275) in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_ma,dc_anthros,Measurement,Anthropometrics,counts of anthropometric values in the measurement table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_co_ml_covid,dc_condscovid19-labscovid19,Measurement,COVID-19 Diagnosed Pts with Labs,"counts of COVID-19 diagnoses with an accompanying COVID-19 lab in the previous and current data submissions (codesets: c19_dx, c19_viral_labs; found in specs folder of GitHub repository)",dc,Consistency,,
Data Cycle changeds,dc_cs,dc_csall,Care Site,Care Site,counts in the full care_site table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_pv,dc_provall,Provider,Provider,counts in the full provider table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_sp,dc_specall,Specialty,Specialty,counts in the full specialty table in the previous and current data submissions,dc,Consistency,,
Data Cycle changeds,dc_dpr,dc_drugsrprt,Drug Exposure,Patient Reported Drugs,counts of patient reported drugs (drug_type_concept_id = 32685) in the previous and current data submissions,dc,Consistency,,
Expected Concepts Present,ecp_tract_2010,ecp_tract-2010,Location FIPS,Census Tract Geocode (2010),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have have a valid, 11-digit tract level geocode for the 2010 census year associated with their current location (location_id in the person table)",ecp,Correctness,,
Expected Concepts Present,ecp_tract_2020,ecp_tract-2020,Location FIPS,Census Tract Geocode (2020),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have a valid, 11-digit tract level geocode for the 2020 census year associated with their current location (location_id in the person table)",ecp,Correctness,,
Expected Concepts Present,ecp_block_group_2010,ecp_blgr-2010,Location FIPS,Census Block Group Geocode (2010),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have a valid, 12-digit block group level geocode for the 2010 census year associated with their current location (location_id in the person table)",ecp,Correctness,,
Expected Concepts Present,ecp_block_group_2020,ecp_blgr-2020,Location FIPS,Census Block Group Geocode (2020),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have a valid, 12-digit block group level geocode for the 2020 census year associated with their current location (location_id in the person table)",ecp,Correctness,,
Expected Concepts Present,ecp_twoplus_lohis_tract_2010,ecp_lohis-twoplus-tract-2010,Location History,2+ Census Tract Location History Geocodes (2010),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have a valid, 11-digit tract level geocode for the 2010 census associated with MORE THAN ONE location in the location_history table",ecp,Correctness,,
Expected Concepts Present,ecp_twoplus_lohis_tract_2020,ecp_lohis-twoplus-tract-2020,Location History,2+ Census Tract Location History Geocodes (2020),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have a valid, 11-digit tract level geocode for the 2020 census associated with MORE THAN ONE location in the location_history table",ecp,Correctness,,
Expected Concepts Present,ecp_twoplus_lohis_cbg_2010,ecp_lohis-twoplus-blgr-2010,Location History,2+ Census Block Group Location History Geocodes (2010),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have a valid, 12-digit block group level geocode for the 2010 census associated with MORE THAN ONE location in the location_history table",ecp,Correctness,,
Expected Concepts Present,ecp_twoplus_lohis_cbg_2020,ecp_lohis-twoplus-blgr-2020,Location History,2+ Census Block Group Location History Geocodes (2020),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have a valid, 12-digit block group level geocode for the 2020 census associated with MORE THAN ONE location in the location_history table",ecp,Correctness,,
Expected Concepts Present,ecp_height,ecp_ht,Measurement,Height,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a height value",ecp,Correctness,,
Expected Concepts Present,ecp_weight,ecp_wt,Measurement,Weight,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a weight value",ecp,Correctness,,
Expected Concepts Present,ecp_head_circumference,ecp_headcirc,Measurement,Head Circumference,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a head circumference value",ecp,Correctness,,
Expected Concepts Present,ecp_hemoglobin,ecp_labshgb,Measurement Labs,Hemoglobin,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a hemoglobin lab test",ecp,Correctness,,changedd to labshgb and Measurement Labs domain
Expected Concepts Present,ecp_platelet_count,ecp_labsplt,Measurement Labs,Platelets,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a platelet lab test",ecp,Correctness,,changedd to labsplt and Measurement Labs domain
Expected Concepts Present,ecp_anc,ecp_labsanc,Measurement Labs,Absolute Neutrophil Count (ANC),"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have an ANC lab test",ecp,Correctness,,changed to labsanc and Measurement Labs domain
Expected Concepts Present,ecp_scr,ecp_labsscreat,Measurement Labs,Serum Creatanine (SCr),"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a SCr lab test",ecp,Correctness,,changed to labsscreat and Measurement Labs domain
Expected Concepts Present,ecp_sodium,ecp_labssodium,Measurement Labs,Sodium,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a sodium lab test",ecp,Correctness,,changed to labssodium and Measurement Labs domain
Expected Concepts Present,ecp_alanine_transaminase,ecp_labsalt,Measurement Labs,Alanine Transaminase,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have an alanine transaminase lab test",ecp,Correctness,,changed to labsalt and Measurement Labs domain
Expected Concepts Present,ecp_urine_protein_qual,ecp_labsupqual,Measurement Labs,Urine Protein (Qualitative),"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a qualitative urine protein lab test",ecp,Correctness,,changed to labsurineproteinqual and Measurement Labs domain
Expected Concepts Present,ecp_rapid_strep,ecp_labsstreprapid,Measurement Labs,Rapid Strep,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a rapid strep lab test",ecp,Correctness,,changed to labsstreprapid and Measurement Labs domain
Expected Concepts Present,ecp_flu,ecp_labsflu,Measurement Labs,Influenza Labs,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have an influenza lab test",ecp,Correctness,,changed to labsfluand Measurement Labs domain
Expected Concepts Present,ecp_rsv,ecp_labsrsv,Measurement Labs,RSV Labs,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have an RSV lab test",ecp,Correctness,,changed to labsrsv and Measurement Labs domain
Expected Concepts Present,ecp_blood_culture_labs,ecp_labsblcx,Measurement Labs,Blood Culture Labs,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a blood culture lab test",ecp,Correctness,,
Expected Concepts Present,ecp_cholesterol,ecp_labscholesterol,Measurement Labs,Cholesterol Labs,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a cholesterol lab test",ecp,Correctness,I didn't see cholesterol in the components,added labscholesterol to check_components
Expected Concepts Present,ecp_smoking_tobacco,ecp_smk-tob,Observation,Smoking/Tobacco,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have smoking/tobacco observations",ecp,Correctness,,
Expected Concepts Present,ecp_blood_culture_px,ecp_procsblcx,Procedure Occurrence,Blood Culture Procedures,"counts the proportion of patients who have evidence of a drug, procedure, AND lab who also have a blood culture procedure",ecp,Correctness,,
Expected Concepts Present,ecp_hvs_all,ecp_obshvsall,Observation,Hunger Vital Signs (full survey),"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Hunger Vital Signs survey results",ecp,Correctness,,
Expected Concepts Present,ecp_hvs_food_insecurity,ecp_obshvsfood,Observation,Hunger Vital Signs - Food Insecurity Finding,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have at least one Hunger Vital Signs Food Insecurity Finding",ecp,Correctness,,
Expected Concepts Present,ecp_hvs_q1,ecp_obshvsq1,Observation,Hunger Vital Signs - Question 1,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have at least one Hunger Vital Signs Question 1 response",ecp,Correctness,,
Expected Concepts Present,ecp_hvs_q2,ecp_obshvsq2,Observation,Hunger Vital Signs - Question 2,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have at least one Hunger Vital Signs Question 2 response",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_aud,ecp_obssdohaud,Observation,SDOH - Alcohol Use Disorder,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Alcohol Use Disorder SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_food_insecurity,ecp_obssdohfood,Observation,SDOH - Food Insecurity,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Food Insecurity SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_health_literacy,ecp_obsasdohliter,Observation,SDOH - Health Literacy,"NAcounts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Health Literacy SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_housing_stability,ecp_obssdohhous,Observation,SDOH - Housing Stability,"NAcounts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Housing Stability SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_ipv,ecp_obssdohipv,Observation,SDOH - Intimate Partner Violence,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Intimate Partner Violence SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_mdd,ecp_obssdohmdd,Observation,SDOH - Depression,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Depression SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_physical_activity,ecp_obssdohact,Observation,SDOH - Physical Activity,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Physical Activity SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_ppd,ecp_obssdohppd,Observation,SDOH - Postpartum Depression,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also havePostpartum Depression SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_stress,ecp_obssdohstress,Observation,SDOH - Stress,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Stress SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_sdoh_utilities,ecp_obssdohutil,Observation,SDOH - Utilities,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Utilities SDOH survey data",ecp,Correctness,,
Expected Concepts Present,ecp_promis_anxiety,ecp_obspromisanxiety,Observation,PROMIS - Anxiety,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Anxiety PROMIS survey data",ecp,Correctness,,
Expected Concepts Present,ecp_promis_mdd,ecp_obspromismdd,Observation,PROMIS - Depression,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Depression PROMIS survey data",ecp,Correctness,,
Expected Concepts Present,ecp_promis_global,ecp_obspromisglobal,Observation,PROMIS - Global,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Global PROMIS survey data",ecp,Correctness,,
Expected Concepts Present,ecp_promis_pain_behavior,ecp_obspromispainbehav,Observation,PROMIS - Pain Behavior,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Pain Behavior PROMIS survey data",ecp,Correctness,,
Expected Concepts Present,ecp_promis_pain_intensity,ecp_obspromispainintens,Observation,PROMIS - Pain Intensity,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Pain Intensity PROMIS survey data",ecp,Correctness,,
Expected Concepts Present,ecp_promis_pain_interference,ecp_obspromispaininterf,Observation,PROMIS - Pain Interference,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Pain Interference PROMIS survey data",ecp,Correctness,,
Expected Concepts Present,ecp_promis_physical_function,ecp_obspromispainfunc,Observation,PROMIS - Physical Function,"counts the proportion of patients with a valid sex, DOB, and at least 1 diagnosis associated with a FTF visit that also have Physical Function PROMIS survey data",ecp,Correctness,,
Expected Concepts Present,ecp_kidney_biopsy,ecp_procskidneybiopsy,Procedure Occurrence,Kidney Biopsy,counts the proportion of patients with at least one visit with a nephrologist who also have a kidney biopsy,ecp,Correctness,,
Best Mapped Concepts,bmc_rxnorm_di,bmc_drugsip-rxnorm,Drug Exposure,Inpatient Administrations,"for inpatient administrations (drug_type_concept_id = 38000180), counts of each RxNorm class to which concepts are mapped",bmc,Correctness,,
Best Mapped Concepts,bmc_rxnorm_dp,bmc_drugspresc-rxnorm,Drug Exposure,Prescription Drugs,"for prescription drugs (drug_type_concept_id = 38000177), counts of each RxNorm class to which concepts are mapped",bmc,Correctness,,
Best Mapped Concepts,bmc_race,bmc_demog-race,Person,Race,counts of each concept_id represented in race_concept_id,bmc,Correctness,,
Best Mapped Concepts,bmc_ethnicity,bmc_demog-eth,Person,Ethnicity,counts of each concept_id represented in ethnicity_concept_id,bmc,Correctness,,
Best Mapped Concepts,bmc_pvvo_spec,bmc_provop,Provider,Outpatient Provider Specialty,counts of each unique specialty_concept_id for outpatient providers (visit_concept_id = 9202 when inner joined to visit_occurrence),bmc,Correctness,"I think this should just be provop? Also, I don't think provop is in the components list",Updated and added
Best Mapped Concepts,bmc_csvo_spec,bmc_csop,Care Site,Outpatient Care Site Specialty,counts of each unique specialty_concept_id for outpatient care sites (visit_concept_id = 9202 when inner joined to visit_occurrence),bmc,Correctness,,"In the same vein as above, I changedd this from csop-specall to csop"
Best Mapped Concepts,bmc_adt_service,bmc_adtall_servcid,ADT Occurrence,service_concept_id,counts of each concept_id represented in service_concept_id,bmc,Correctness,,
Best Mapped Concepts,bmc_fips_tract,bmc_fips_tract,Location FIPS,Census Tract Geocode,"counts of each distinct length of a census tract level geocode, removing NULL values and invalid characters (ideally is 11 digits)",bmc,Correctness,,
Best Mapped Concepts,bmc_fips_block_group,bmc_fips_blgr,Location FIPS,Census Block Group Geocode,"counts of each distinct length of a census tract level geocode, removing NULL values and invalid characters (ideally is 12 digits)",bmc,Correctness,,
Best Mapped Concepts,bmc_gest_age,bmc_gestage,Person,Gestational Age,counts of patients (whose first visit occurred at <= 2 years old) with a gestational age within an ideal window of 20-45 weeks,bmc,Correctness,,
domainConcordance,dcon_ckd_dx_htn_rx,dcon_condsckd-drugshtn,Condition Occurrence / Drug Exposure,CKD Diagnosis / Anti-hypertensive Drug Exposure,"counts of patients with a CKD diagnosis, patients with an anti-hypertensive drug exposure, and patients that fall into both cohorts when the events occur within 2 years of each other (codesets: dx_ckd, rx_htn; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_asthma_dx_broncho_rx,dcon_condsasthma-drugsbroncho,Condition Occurrence / Drug Exposure,Asthma Diagnosis / Bronchodilator Drug Exposure,"counts of patients with an asthma diagnosis, a bronchodilator drug exposure, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: dx_asthma, rx_albuterol; found in the specs folder of the GitHub repository)Â ",dcon,Concordance,,
domainConcordance,dcon_leukemia_dx_onco_spec,dcon_condsleukemia-specoponco,Condition Occurrence / Provider,Leukemia Diagnosis / Oncology Specialist,"counts of patients with a leukemia diagnosis, patients who have seen an oncology specialist, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: dx_leukemia_comb, oncology_edit; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_nephsyn_dx_neph_spec,dcon_condsnephsyn-specopneph,Condition Occurrence / Provider,Nephrotic Syndrome Diagnosis / Nephrology Specialist,"counts of patients with a nephrotic syndrome diagnosis, patients who have seen a nephrology specialist, and patients that fall into both cohorts when the events occur within 2 years of each other (codesets: dx_nephrotic_syndrome, nephrology; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_frac_dx_img_px,dcon_condsfrac-procsimg,Condition Occurrence / Procedure Occurrence,Fracture Diagnosis / Imaging Procedure,"counts of patients with a fracture diagnosis, an imaging procedure, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: dx_fracture, px_radiologic; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_t1d_dx_insulin_rx,dcon_condst1d-drugsinsulin,Condition Occurrence / Drug Exposure,Type 1 Diabetes Diagnosis / Insulin Drug Exposure,"counts of patients with a Type 1 Diabetes diagnosis, an insulin drug exposure, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: T1D_SNOMED_codes, insulin; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_flu_pos_lab_flu_dx,dcon_labsflupos-condsflu,Condition Occurrence / Measurement,Influenza Diagnosis / Positive Influenza Lab Test,"counts of patients with an Influenza diagnosis, a positive influenza lab test, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: dx_influenza, lab_influenza; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_flu_neg_lab_flu_dx,dcon_labsfluneg-condsflu,Condition Occurrence / Measurement,Influenza Diagnosis / Negative Influenza Lab Test,"counts of patients with an Influenza diagnosis, a negative influenza lab test, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: dx_influenza, lab_influenza; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_rsv_pos_lab_rsv_dx,dcon_labsrsvpos-condsrsv,Condition Occurrence / Measurement,RSV Diagnosis / RSV Positive Lab Test,"counts of patients with an RSV diagnosis, a positive RSV lab test, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: dx_rsv, lab_rsv; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_rsv_neg_lab_rsv_dx,dcon_labsrsvneg-condsrsv,Condition Occurrence / Measurement,RSV Diagnosis / RSV Negative Lab Test,"counts of patients with an RSV diagnosis, a negative RSV lab test, and patients that fall into both cohorts when the events occur within 3 months of each other (codesets: dx_rsv, lab_rsv; found in the specs folder of the GitHub repository)",dcon,Concordance,,
domainConcordance,dcon_IP_visits_IP_conds,dcon_visip-condsip,Visit Occurrence / Condition Occurrence,Inpatient Visits / Inpatient Condition Headers,"counts of visits with visit_concept_id = 9201, visits with conditions with condition_type_concept_id = 2000000092, 2000000093, 2000000094, 2000000098, 2000000099, or 2000000100, and visits that fall into both groupsÂ ",dcon,Concordance,,
domainConcordance,dcon_OP_visits_OP_conds,dcon_visop-condsop,Visit Occurrence / Condition Occurrence,Outpatient Visits / Outpatient Condition Headers,"counts of visits with visit_concept_id = 9202, visits with conditions with condition_type_concept_id = 2000000095, 2000000096, 2000000097, 2000000101, 2000000102, or 2000000103, and visits that fall into both groups",dcon,Concordance,,
domainConcordance,dcon_ED_visits_ED_conds,dcon_vised-condsed,Visit Occurrence / Condition Occurrence,ED Visits / ED Condition Headers,"counts of visits with visit_concept_id = 9203, visits with conditions with condition_type_concept_id = 2000001280, 2000001281, 2000001282, 2000001283, 2000001284, or 2000001285, and visits that fall into both groups",dcon,Concordance,,
domainConcordance,dcon_gp_visits_wc_codes,dcon_visgp-condswcc-procswcc,Visit Occurrence / Condition Occurrence or Procedure Occurrence,General Practice Visits / Visits with Well-Child Code,"counts of visits with a general practice provider or care site specialty, visits with a well-child diagnosis or procedure code, or both (codesets: general_practice_specialties, px_wellness_visit; found in the specs folder of the GitHub repository)",dcon,Concordance,,
Clinical Fact Documentation,cfd_pr_all,cfd_procsall,All Visits,All Procedures,counts of all visits with and without an associated procedure,cfd,Completeness,,
Clinical Fact Documentation,cfd_co_all,cfd_condsall,All Visits,All Conditions,counts of all visits with and without an associated condition,cfd,Completeness,,
Clinical Fact Documentation,cfd_dr_all,cfd_drugsall,All Visits,All Drugs,counts of all visits with and without an associated drug,cfd,Completeness,,
Clinical Fact Documentation,cfd_prdr_all,cfd_procsall-drugsall,All Visits,Procedures and Drugs,counts of all visits with and without an associated procedure AND an associated drug,cfd,Completeness,,
Clinical Fact Documentation,cfd_ml_all,cfd_labsall,All Visits,Measurement Labs,counts of all visits with and without an associated lab value,cfd,Completeness,,
Clinical Fact Documentation,cfd_prdrml_all,cfd_procsall-drugsall-labsall,All Visits,"Procedures, Drugs, and Labs",counts of all visits with and without an associated procedure AND an associated drug AND an associated lab value,cfd,Completeness,,
Clinical Fact Documentation,cfd_vp_all,cfd_payers,All Visits,Visit Payer,counts of all visits with and without an associated record in visit_payer,cfd,Completeness,,
Clinical Fact Documentation,cfd_im_all,cfd_immsall,All Visits,All Immunization,counts of all visits with and without an associated immunization,cfd,Completeness,,
Clinical Fact Documentation,cfd_ob_all,cfd_obsall,All Visits,Observation,counts of all visits with and without an associated observation,cfd,Completeness,,
Clinical Fact Documentation,cfd_pr_inpatient,cfd_procsall-visip,Inpatient Visits,All Procedures,counts of inpatient visits (visit_concept_id = 9201 or 2000000048) with and without an associated procedure,cfd,Completeness,,
Clinical Fact Documentation,cfd_co_inpatient,cfd_condsall-visip,Inpatient Visits,All Conditions,counts of inpatient visits (visit_concept_id = 9201 or 2000000048) with and without an associated condition,cfd,Completeness,,
Clinical Fact Documentation,cfd_dr_inpatient,cfd_drugsall-visip,Inpatient Visits,All Drugs,counts of inpatient visits (visit_concept_id = 9201 or 2000000048) with and without an associated drug,cfd,Completeness,,
Clinical Fact Documentation,cfd_prdr_inpatient,cfd_procsall-drugsall-visip,Inpatient Visits,Procedures and Drugs,counts of inpatient visits (visit_concept_id = 9201 or 2000000048) with and without an associated procedure AND an associated drug,cfd,Completeness,,
Clinical Fact Documentation,cfd_ml_inpatient,cfd_labsall-visip,Inpatient Visits,Measurement Labs,counts of inpatient visits (visit_concept_id = 9201 or 2000000048) with and without an associated lab value,cfd,Completeness,,
