check_id,check_description,cohort_definition,cohort_schema,cohort_table,schema,table,concept_field,conceptset_name,filter_logic,vocabulary_field
labsblcx,Blood Culture Lab,Patients with an inpatient admission (9201 or 2000000048),result,ip_admit,cdm,lab_result_cm,lab_loinc,ecp_blood_culture_labs,,
procsblcx,Blood Culture Procedure,Patients with an inpatient admission (9201 or 2000000048),result,ip_admit,cdm,procedures,px,ecp_blood_culture_px,,px_type
labscholesterol,Cholesterol,"Patients with evidence of a procedure, drug, AND lab",result,pdl_pts,cdm,lab_result_cm,lab_loinc,ecp_cholesterol_all,,
obshvsall,Hunger Vital Signs - Full Survey,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,ecp_hvs,,pro_type
obshvsfood,Hunger Vital Signs - Food Insecurity,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,ecp_hvs,observation_concept_id == 37116643,pro_type
obshvsq1,Hunger Vital Signs - Question 1,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,ecp_hvs,observation_concept_id == 40192426,pro_type
obshvsq2,Hunger Vital Signs - Question 2,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,ecp_hvs,observation_concept_id == 40192517,pro_type
obssdohaud,SDOH - Alcohol Use Disorder,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_aud,,pro_type
obssdohfood,SDOH - Food Insecurity,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_food_insecurity,,pro_type
obsasdohliter,SDOH - Health Literacy,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_health_literacy,,pro_type
obssdohhous,SDOH - Housing Stability,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_housing_stability,,pro_type
obssdohipv,SDOH - Intimate Partner Violence,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_ipv,,pro_type
obssdohmdd,SDOH - Depression,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_mdd,,pro_type
obssdohact,SDOH - Physical Activity,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_physical_activity,,pro_type
obssdohppd,SDOH - Postpartum Depression,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_ppd,,pro_type
obssdohstress,SDOH - Stress,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_stress,,pro_type
obssdohutil,SDOH - Utilities,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,sdoh_utilities,,pro_type
obspromisanxiety,PROMIS - Anxiety,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_anxiety,,pro_type
obspromismdd,PROMIS - Depression,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_mdd,,pro_type
obspromisglobal,PROMIS - Global,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_global,,pro_type
obspromispainbehav,PROMIS - Pain Behavior,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_pain_behavior,,pro_type
obspromispainintens,PROMIS - Pain Intensity,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_pain_intensity,,pro_type
obspromispaininterf,PROMIS - Pain Interference,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_pain_interference,,pro_type
obspromispainfunc,PROMIS - Physical Function,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_physical_function,,pro_type
procskidneybiopsy,Kidney Biopsy,Patients with at least one nephrology specialty visit,result,nephrology_specialties,cdm,procedures,px,px_kidney_biopsy,,px_type
promispeerrel,PROMIS - Peer Relationships,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_peer_rel,,pro_type
promisanger,PROMIS - Anger,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_anger,,pro_type
promissleep,PROMIS - Sleep/Fatigue,"Patients with a valid sex, valid DOB, and at least one face to face visit associated with a diagnosis",result,geocode_cohort,cdm,pro_cm,pro_code,promis_sleep_fatigue,,pro_type
